"Date","Year","Month","MonthName","Decade","Station","StationName","Network","City","County","Lat","Lon","Elev_m","Tmax_C","Tmin_C","Tmed_C","Tdew_C","RHmax","RHmin","RHmed","Precip_mm","THImax","THImin","THImed","THImax_cat","THI75","THI79","THI84","THImax_rh","THImin_rh","THImed_rh","Imputed","ImputedVar"
2006-02-21,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,13.89,1.38,7.64,-2.6,84.28,30.25,57.26,0,54.16,41.64,47.9,"Normal",0,0,0,57.36,36.53,46.95,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-22,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,12.74,1.58,7.16,0.11,87.59,53.45,70.52,3.05,53.98,42.82,48.4,"Normal",0,0,0,55.7,36.44,46.07,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-23,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,14.49,4.13,9.31,-0.39,84.71,36.34,60.52,8.64,55.55,45.19,50.37,"Normal",0,0,0,58.03,41,49.51,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-24,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,13.12,0.51,6.82,-5.24,78.21,22.52,50.36,0,52.44,39.82,46.13,"Normal",0,0,0,56.61,35.94,46.28,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-25,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,14.29,0.46,7.37,-1.21,86.54,38.98,62.76,0,55.05,41.23,48.14,"Normal",0,0,0,57.78,34.71,46.25,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-26,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,7.19,-3.46,1.86,-11.07,69.79,21.71,45.75,0,44.4,33.76,39.08,"Normal",0,0,0,50.58,31.17,40.88,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-27,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,8.89,-5.86,1.52,-10.22,77.9,20.8,49.35,0,46.41,31.66,39.04,"Normal",0,0,0,52.36,25.94,39.15,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-28,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,17.22,1.27,9.25,-0.38,86.77,31.67,59.22,0,58.28,42.33,50.31,"Normal",0,0,0,61.07,36.03,48.55,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-03-01,2006,3,"Mar","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,20.75,8.76,14.76,6.56,88.61,43.42,66.01,0,64.31,52.32,58.32,"Normal",0,0,0,65.76,48.41,57.08,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-03-02,2006,3,"Mar","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,24.43,10.8,17.61,8.67,88.93,36.01,62.47,0,68.75,55.12,61.94,"Normal",0,0,0,69.55,51.84,60.7,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
